question,references,corpus_id
What are the two types of nitrogen coordination in the FeNC models discussed?,"[{""content"": ""tudies on active site models. we here report on the optimal model size for computational studies of fenc catalysts with molecular and periodic approaches using two prominent fenc active site models, fen4c10 (pyridinic nitrogen coordination) and fen4c12 (pyrrolic nitrogen coordination). we furthe"", ""start_index"": 1226, ""end_index"": 1502}]",25
What is the ground state configuration for the FeN₄ system with an iron(II) ion?,"[{""content"": ""aired electrons located on iron. a key conclusion is that square-planar structures fail to explain the experimentally observed high spin species. instead, axial displacements of iron or binding of axial ligands are needed to stabilise the high spin configuration, which"", ""start_index"": 13673, ""end_index"": 13928}]",25
What is the effect of the graphene-like environment on the electronic configurations of FeNC models?,"[{""content"": ""d for structural elucidation. because of the detailed information on iron oxidation and spin states offered by mo\u0308ssbauer spectroscopy, it has been used especially extensively to study fenc catalysts. a mo\u0308ssbau"", ""start_index"": 15541, ""end_index"": 15809}]",25
What computational method is primarily used to study the FeNC catalyst models?,"[{""content"": ""tudies on active site models. we here report on the optimal model size for computational studies of fenc catalysts with molecular and periodic approaches using two prominent fenc active site models, fen4c10 (pyridinic nitrogen coordination) and fen4c12 (pyrrolic nitrogen coordination). we furthe"", ""start_index"": 6794, ""end_index"": 6988}]",25
What is the role of the conjugated π-system in the FeN₄ system?,"[{""content"": ""ich are sketched in figure 2. the ground state configuration is an intermediate spin (is) fe(ii) where the d_xy and d_xz orbitals are doubly occupied, the d_yz and d_xy are singly occupied, and the d_x2-y2 orbital is unoccupied, labeled is3 in figure 2. this is i"", ""start_index"": 12108, ""end_index"": 12459}]",25
What are the electronic configurations identified for the FeNC models?,"[{""content"": ""rmediate spin configuration. to study the influence of the graphene-like environment on the preferred spin state and mo\u0308ssbauer parameters, we tried to identify all of the electronic configurations described above in an initial screening step using the models shown in figure 4. as discus"", ""start_index"": 13541, ""end_index"": 13692}]",25
What is the significance of the quadrupole splitting in Mössbauer spectroscopy for FeNC catalysts?,"[{""content"": ""states in fenc models. in this work, we investigate two typical fenc active site models with density functional theory: the pyridinic-type fen4c10 (model a) and the pyrrolic-type fen4c12 (model b), see figure 1."", ""start_index"": 3541, ""end_index"": 3802}]",25
How does the solvent composition affect ionomer aggregation according to the study?,"[{""content"": ""ted to occupy the d-orbitals. in addition, the conjugated \u03c0-system of the equatorial ligand can play a role by hosting unpaired electrons, either by intramolecular redox events (formally oxidising the iron ion to fe(iii)) or by being in a triplet configuration that couples ferromagnetically or antiferromagnetically with the unpaired electrons of the iron ion. we inves"", ""start_index"": 2013, ""end_index"": 2118}]",26
What is the primary mechanism by which LyTONs achieve mRNA knockdown?,"[{""content"": ""ameters are given in the si. we identified eight relevant electronic configurations, the possible orbital occupation patterns of which are sketched in figure 2. the groun"", ""start_index"": 5888, ""end_index"": 6102}]",27
What chemical modification is used in RNase H-inactive ASOs for higher chemical stability?,"[{""content"": ""and the quadrupole splitting. the isomer shift depends linearly on the s-electron density at the nucleus, while the quadrupole splitting is defined by the electric field gradient, making it highly sensitive to the symmetry of the electron distribution around the nucleus.20\u201323 both"", ""start_index"": 1410, ""end_index"": 1573}]",27
How does ispinesib contribute to the function of LyTONs?,"[{""content"": ""ction of solvent composition. we observe a decrease in ionomer secondary aggregation with decreasing water content. this vari"", ""start_index"": 5346, ""end_index"": 5501}]",27
What was the observed effect of bafilomycin on LyTON activity?,"[{""content"": ""compounds (attecs)\\(22\\). by conjugating the small molecule ispinesib to asos, we developed lysosomal trafficking antisense oligonucleotides (lytons) that can selectively knockdown mrna through transport to the lysosome (figure 1)."", ""start_index"": 6192, ""end_index"": 6401}]",27
What is the role of the autophagosome in the mechanism of LyTONs?,"[{""content"": "", to rnase h-inactive asos. these fully 2\u2032-o-methylated rnase h-inactive asos have higher chemical stability and tighter mrna binding than conventional \u2018gapmer\u2019 sequences, but cannot"", ""start_index"": 5496, ""end_index"": 5694}]",27
What was the effect of LyTONs on Menin (MEN1) mRNA and protein levels?,"[{""content"": ""an anti-cancer drug\\(19,20\\). ispinesib has also been employed as a warhead in bi-functional molecules designed to degrade target proteins via lysosomal trafficking\\(21\\)."", ""start_index"": 16902, ""end_index"": 17153}]",27
How does the knockdown efficiency of LyTONs compare to that of RNase H-active gapmer ASOs?,"[{""content"": ""pmer asos for mrna knockdown. inhibition of lysosomal acidification, via bafilomycin, resulted in the loss of lyton activity, demonstrating lyton-mediated transport of mrna to the lysosome was responsible for knockdown. to illust"", ""start_index"": 1595, ""end_index"": 1755}]",27
What is the role of ispinesib in the synthesis of LyTONs?,"[{""content"": ""lysosomal trafficking\\(21\\). the proposed mechanism for these bi-functional molecules involves lc3-binding within the autophagosome, which subsequently fuses with the lysosome to mediate protein degradation. this acti"", ""start_index"": 8458, ""end_index"": 8619}]",27
What is the proposed advantage of using LyTONs over traditional RNase H-mediated ASOs?,"[{""content"": ""eping gene gapdh (\\textbffigure 4b). the men1 2'-ome lyton outperformed the men1 2'-ome aso at all concentrations tested. we measured 36.8%, 49.8%, 55.5%, less transcript upon treatment with the men1 2'-ome lyton conjugate compared to the unconjugated men1 2'-ome aso,"", ""start_index"": 10266, ""end_index"": 10453}]",27
How does the shape anisotropy of iron oxide nanocrystals evolve according to the study?,"[{""content"": ""not be recognised by rnase h. our rnase h-inactive aso-ispinesib conjugates produced a higher degree of knockdown than even state-of-the-art rnase h-active \u2018gapmer\u2019 asos. using lys"", ""start_index"": 1435, ""end_index"": 1620}]",28
What is the role of methylcellulose (MC) and cetyltrimethylammonium bromide (CTAB) in the synthesis process?,"[{""content"": ""dbco-n-hydroxysuccinimide (nhs) ester. we then used strain-promoted azide-alkyne click (spaac) chemistry to couple commercially available ispinesib-azide to the 5'-dbco 2'-ome aso"", ""start_index"": 8916, ""end_index"": 9098}]",28
What are the polymorphic forms of iron oxide nanoparticles synthesized in the study?,"[{""content"": ""ved (figure 2e, si figure 3). this indicated that degrading mrna via a lysosomal pathway might be more efficient for gene knockdown than relying upon rnase h recruitment, primarily, in the nucleus. addition"", ""start_index"": 17855, ""end_index"": 18103}]",29
Which biogenic ligand was used in the study to influence the shape anisotropy of iron oxide nanocrystals?,"[{""content"": ""g an electro-analytical approach. we found in our experiment that the evolution of shape anisotropy (spheres to sheets and rods) in iron oxide nanocrystals (~24-44 nm) remains explainable using ncct, even"", ""start_index"": 1062, ""end_index"": 1219}]",29
What techniques were used to characterize the synthesized iron oxide nanoparticles?,"[{""content"": ""ed in double distilled water. slowly, the freshly prepared (15.0 ml) aqueous extract of press mud, and surfactants (ctab; 9.0 g/ and mc; 6.0 g/) were added in three separate synthetic schemes. followed"", ""start_index"": 10132, ""end_index"": 10755}]",29
What is the role of the electrochemical work function (Φₐd⁰) in explaining the photocatalytic behavior of iron oxide nanoparticles?,"[{""content"": ""of iron oxide nanoparticles the five iron oxide samples and their crystalline forms (\u03b1, \u03b5, \u03b3), characterized as fe2o3 and fe3o4 nps, have been synthesized by acid (fe-ah), and base (fe-bh) hydrolysis without any external capping agent in the first attempt. we then f"", ""start_index"": 1590, ""end_index"": 2010}]",29
What is the significance of shape anisotropy in the photocatalytic efficiency of iron oxide nanoparticles?,"[{""content"": ""tic processes remain unaddressed. we, in this work, attempted to understand their shape anisotropy induced by naturally relevant organic ligands from sugar press mud (pm) under"", ""start_index"": 3788, ""end_index"": 4100}]",29
What is the role of non-classical crystallization theory (NCCT) in this study?,"[{""content"": ""of iron oxide nanoparticles the sintered samples of the synthesized nanomaterial were characterized using techniques and protocol described by verma et al. 2023. briefly, the x-ray diffraction (xrd); instrument: xrd x\u2019pert pro (panalytical netherlands), microscopy; instruments: sem-edx (oxford-edx system ie 250 x max 80, netherlands) and tem (jeol jem-1400), vibrational modes, instrument: ftir spectrophotometer (perkin-elmer1600) in transmittance mode and uv-vis absorption epoch 2 microplate reader (biotek instruments). dls zetasizer ver. 7.11 (malvern instruments) were used for hydrodynamic diameter and zeta (\u03b6) potential. the summa"", ""start_index"": 1390, ""end_index"": 1651}]",29
What is the significance of electrochemically active surface area (ESCA) in the study?,"[{""content"": ""in the case of the pm ligands as an additive to the reaction solution. however, the differences in their photocatalytic abilities (rate constants \u2018k\u2019; 0.14\u20130.34 min-1) could be better explained using the concept of electrochemical work function (\\phi_ad0), and electrochemically active surface area (esca) than merely relying on band gap (e_g) and charge (e-/h+) carrier dynamics. moreover, the findings of this work may"", ""start_index"": 1590, ""end_index"": 2010}]",29
What is the primary chemical transformation discussed in the paper?,"[{""content"": ""such aspects of these oxides. nonetheless, a few recent studies have shown that the different shapes (shape anisotropy) of the same nanoscale materials can exhibit different catalytic efficiency, but lack an appropriate justification and theoretical support vis-a\u0300-vis light-matter interaction and the interfacial dynamics.\\(7,8\\) i"", ""start_index"": 840, ""end_index"": 1022}]",30
Which catalysts are used for the C–H borylation process in the study?,"[{""content"": ""electro-analytical approach. we found in our experiment that the evolution of shape anisotropy (spheres to sheets and rods) in iron oxide nanocrystals (~24\u201344 nm) remains explainable using ncct, even in the case of the pm ligands as an additive to the reaction solution. however,"", ""start_index"": 1003, ""end_index"": 1149}]",30
What is the unusual mechanistic feature of the σ-bond metathesis process described in the paper?,"[{""content"": ""in the case of the pm ligands as an additive to the reaction solution. however, the differences in their photocatalytic abilities (rate constants \u2018k\u2019; 0.14\u20130.34 min-1) could be better explained using the concept of electrochemical work function (\\phi_ad0), and electrochemically active surface area (esca) than merely relying on band gap (e_g) and charge (e-/h+) carrier dynamics. moreover, the findings of this work may"", ""start_index"": 1356, ""end_index"": 1549}]",30
What is the role of the NacNac ligand in the borylation mechanism?,"[{""content"": ""organoboranes rarely explored. herein, we report a catalytic intermolecular arene c\u2013h borylation method using the commercial and inexpensive hydroborane 9-borabicyclo-[3.3.1]-nonane, (h\u2013bbn)_2. this pr"", ""start_index"": 1530, ""end_index"": 1698}]",30
What is the significance of using (H–BBN)2 in the borylation process?,"[{""content"": ""o-[3.3.1]-nonane, (h\u2013bbn)_2. this process is effective for mono- and di-borylation to form a range of aryl\u2013bbn compounds using either nacnacal or nacnaczn ((nacnac=\\"", ""start_index"": 3366, ""end_index"": 3528}]",30
What is the role of [(DMT)H][B(C6F5)4] in the borylation reactions?,"[{""content"": ""s pinacol-boronate ester. mechanistic studies indicated an unusual \u03c3-bond metathesis process between nacnaczn\u2013aryl and the hydroborane, with first order kinetics in the hydroborane dimer ((h\u2013bbn)_2). our proposed"", ""start_index"": 6839, ""end_index"": 7000}]",30
What is the outcome of the reaction between NacNacZn(thienyl) and (H–BBN)2?,"[{""content"": ""hydroborane dimer ((h\u2013bbn)_2). our proposed calculated metathesis pathway involves ligand non-innocence and addition of both h\u2013bbn units in (h\u2013bbn)_2 to the nacnaczn\u2013aryl complex. this is"", ""start_index"": 18205, ""end_index"": 18393}]",30
What is the significance of the diborylation of thiophenes in the study?,"[{""content"": ""using ar\u2013b(or)_2/ar\u2013bdan.[7\u20139] furthermore, the hydroborane, 9-borabicyclo-[3.3.1]-nonane, (h\u2013bbn)_2, is commercially available, inexpensive, and widely used in synthesis.[10] t"", ""start_index"": 12486, ""end_index"": 12680}]",30
What are the most common phases of liquid crystals mentioned in the paper?,"[{""content"": ""ts (dmt = n,n-dimethyl-p-toluidine). therefore, these salts were explored in combination with nacnacznh, 1, for the c\u2013h borylation of 2-methyl-thiophene using (h\u2013bbn)2 (table 1). fr"", ""start_index"": 5486, ""end_index"": 5669}]",31
How do liquid crystals benefit quantum computing in terms of photon management?,"[{""content"": ""equivalent of (h\u2013bbn)\\(_2\\). while the metathesis did proceed at room temperature to form thienyl\u2013bbn, 3a, only 50% of 10 was consumed to form a single new nacnaczn product that was not compound 1. instead,"", ""start_index"": 3810, ""end_index"": 3994}]",31
What is the significance of the Smectic C* phase in quantum computing?,"[{""content"": ""o containing a cb_2h core. with the mono-borylation scope assessed, our attention turned to the diborylation of thiophenes given the importance of diborylated precursors in accessing organic materials.\\[33\\]"", ""start_index"": 9392, ""end_index"": 9661}]",31
How do liquid crystals exhibit quantum coherence?,"[{""content"": ""properties they exhibit. the most common phases of liquid crystals are nematic, smectic, and cholesteric (or chiral), with each phase offering unique advantages for different applications: | phases of"", ""start_index"": 10196, ""end_index"": 10468}]",31
What is the primary advantage of metal hydride-based hydrogen compressors over mechanical compressors?,"[{""content"": ""essential aspect in quantum systems. liquid crystals are highly beneficial for their capacity to manage the polarization states of photons, which is a requirement for optical quantum gates to function. t"", ""start_index"": 2981, ""end_index"": 3226}]",32
What thermodynamic relationship is used to describe hydrogen compression using a metal hydride?,"[{""content"": ""ntum computing technologies. moreover, we will discuss other intriguing phases of liquid crystals, such as ferroelectric liquid crystals, particularly the smectic c* phase, which offers bistability and rapid switching times\u2014key characteristics for qubit stability and coherence. these pro"", ""start_index"": 6425, ""end_index"": 6722}]",32
What is the role of effective thermal management in metal hydride-based hydrogen compressors?,"[{""content"": ""anglement in liquid crystals quantum coherence refers to the phenomenon in a quantum system where particles exhibit wave correlations. in the realm of liquid crystals, quantum coherence can be observed as the behavior of molecules maintaining phase connections over long distances. this kind"", ""start_index"": 7663, ""end_index"": 7933}]",32
What is the significance of the pressure-composition-temperature (PCT) isotherms in evaluating metal hydride materials?,"[{""content"": ""ydrogen at various pressures. these compressors offer several advantages, including high discharge pressures of up to 1000 bar h_2, excellent scalability, and a modular design that allows the use of low-grade thermal energy to enhance energy efficiency. the absen"", ""start_index"": 1067, ""end_index"": 1329}]",32
What is the primary challenge in predicting metal hydride thermodynamic properties using machine learning models?,"[{""content"": ""for hydrogen compression. the principle of hydrogen compression using a metal hydride is based on the thermodynamic relationship described by the van\u2019t hoff equation, which correlates the equilibrium pressure of hydrogen with temperature, enthalpy, and entropy changes associated with hydride formation\\cite21,22."", ""start_index"": 4349, ""end_index"": 4621}]",32
What is the effect of Co substitution for Mn in the TCMFL material?,"[{""content"": ""rption at high pressures. effective thermal management, achieved through the incorporation of high-conductivity materials such as copper, aluminum, or various carbons, is imperative to facilitate rapid heat transfer and uniform temperature distribution within the hydride bed\\cite24,25."", ""start_index"": 14044, ""end_index"": 14318}]",32
What is the significance of the C14 Laves structure in the TCMFL material?,"[{""content"": ""g low-stability hydrides, (2) validate their experimental pressure-composition-temperature (pct) isotherms up to 875 bar, and (3) utilize a dynamic systems-level model of a metal hydride compressor design to evaluate their performance under realistic operating conditions. important"", ""start_index"": 14398, ""end_index"": 14529}]",32
What type of magnetic ordering is observed in the complex at low temperatures?,"[{""content"": ""tability hydrides remain a challenge. this primarily arises due to the imbalance of existing experimental data on which these models are trained, i.e., the extreme lack of experimental data for materials whose hydride plateaus require experimental pct measurements greater than 100-200 bar. f"", ""start_index"": 1193, ""end_index"": 1290}]",33
What is the observed pore size of the tetragonal void in the 1D network?,"[{""content"": ""slightly larger \\delta h_d. we therefore chose tcmfl as a base material to test our ml-destabilization design rules (table 1), choosing a small amount of co substitution for mn: ti_1.02cr_1.1mn_0.2co_0.1fe_0.6la_0.03 (hereon referred to as \u201cmodified tcmfl\u201d). tcmfl wa"", ""start_index"": 8642, ""end_index"": 8804}]",33
What type of adsorption isotherm is observed for the desolvated sample at 77 K?,"[{""content"": ""ing to produce a fine powder. the resulting phase exhibits a c14 laves structure (figure 3), with no other major crystalline phases detected. the as-mi"", ""start_index"": 1099, ""end_index"": 1212}]",33
What is the significance of the Cr-Cr-C(trans) bond angles in the complex?,"[{""content"": ""adsorption isotherm at 77 k. magnetic studies of 1 reveal strong ferrimagnetic ordering with t_c = 2.15 k. in an att"", ""start_index"": 8417, ""end_index"": 8553}]",33
What is the primary advantage of using gold nanostars over gold nanospheres in colorimetric LFIA assays?,"[{""content"": ""ted from literature values. the distance between two diagonally opposite cr atoms and mn atoms is 7.689 a\u030a which is the pore size of the tetragonal void in the 1d network (figure 3)."", ""start_index"": 6260, ""end_index"": 6677}]",34
How does the incorporation of a magnetic core enhance the sensitivity of the mpLFIA platform?,"[{""content"": ""like chains\u201d of finite width. n2 gas adsorption studies on desolvated sample reveals a type ii adsorption isotherm at 77 k. magnetic"", ""start_index"": 10856, ""end_index"": 11153}]",34
What is the limit of detection (LOD) achieved by the mpLFIA platform for RVFV nucleoprotein?,"[{""content"": ""present in the mn(ii) state. from the bond angles, the c-cr-c(cis) angles are close to 90\u00b0 while the c-cr-c(trans) bond angles are close to 180\u00b0. the cr-c-"", ""start_index"": 9306, ""end_index"": 9521}]",34
Why is a surfactant-free synthesis method used in the preparation of mpGNS?,"[{""content"": ""s of gold nanoparticle systems, gold nanostars represent a more promising nanoplatform than other nanoparticle morphologies for enhancing the performance of colorimetric lfia assays. this advantage primarily stems from the strong localized surface plasmon resonance (lspr) of the nanostars, resulting in exceptionally high molar extinction coefficients, which further enhance their optical brightness in colorimetric lfia assays[36-38]."", ""start_index"": 11367, ""end_index"": 11523}]",34
How does the mpGNS-3 nanoparticle system compare to Fe3O4@PDA in terms of optical brightness?,"[{""content"": ""using mpgns** in this study, we integrated two amplification mechanisms to enhance colorimetric lfia: (1) analyte concentration within the sample, driven by the iron oxide core, and (2) enhanced optical brightness, achieved through the sharp spiked morphology of the outer shell of the nanoparticle system. to achiev"", ""start_index"": 15709, ""end_index"": 15960}]",34
What is the effect of the anisotropic sharp-spiked morphology on the antibody conjugation efficiency of mpGNS-3?,"[{""content"": ""ted the highest analytical sensitivity. the limit of detection (lod) for the rvfv nucleoprotein using mpgns-3 was as low as 2.24 pg/ml, demonstrating a 1000-fold improvement in sensitivity compared to assays utilizing conventional gnp."", ""start_index"": 19011, ""end_index"": 19221}]",34
What is the role of pyrolysis in the pre-treatment of black mass from lithium-ion batteries?,"[{""content"": ""with numerous sharp branches. establishing a surfactant-free synthesis method is essential for maximizing spike formation and enhancing colorimetric lfia performance. in contra"", ""start_index"": 5040, ""end_index"": 5211}]",35
How does the FBRM technique improve the measurement of particle size distribution in black mass recycling?,"[{""content"": ""The FBRM technique can overcome shortcomings of PSD measurements from laser diffraction and allow for real-time analysis of pre-treatment and recycling processes."", ""start_index"": 8497, ""end_index"": 8679}]",35
What are the crystalline phases of graphite identified in untreated black mass using XRD?,"[{""content"": ""-ms analysis. the image indicates that mpgns-3 exhibits a darker color, signifying higher optical brightness compared to the other nanoparticles. as previously discussed, the anisotropic sharp-spiked morphology enhances the optical brightness of the nanoparticle system,"", ""start_index"": 1163, ""end_index"": 1407}]",35
What gases are evolved during the pyrolysis of black mass as identified by TGA/MS?,"[{""content"": ""dy-labeling lfia platform. as expected, the multiple sharp branches of mpgns-3 increase the surface area of the nanoparticle system, thereby enhancing antibody conjugation efficiency relative to other mpgns variants and fe3o4@pda."", ""start_index"": 1540, ""end_index"": 1775}]",35
What is the significance of the ID/IG ratio in Raman spectroscopy for graphite particles in black mass?,"[{""content"": ""the particle size.9 pyrolysis of bm has also been used extensively as a pre- treatment process as it can decompose pvdf binder, electrolytes, and other organic impurities. pre-treated bm is"", ""start_index"": 9650, ""end_index"": 9894}]",35
What is the purpose of using a Ni filter in XRD analysis of black mass?,"[{""content"": ""methods with psd measurements. fbrm technique can overcome shortcomings of psd measurements from laser diffraction and allow for real-time analysis of pre-treatment and recycling processes.22 a quantit"", ""start_index"": 13854, ""end_index"": 14100}]",35
How does the pyrolysis pre-treatment affect the phase chemistry of NMC particles in black mass?,"[{""content"": ""lysis of recycling processes. xrd (x-ray diffraction), complemented by sem (scanning electron microscopy) and metal composition data confirmed that crystalline nmc phases remain intact in untreated bm and graphite exists as a mixture of 2h and 3r phases. additiona"", ""start_index"": 5607, ""end_index"": 5767}]",35
What is the role of SEM/EDS in the characterization of black mass?,"[{""content"": ""rticles on graphite surfaces. qualitative tga/ms (thermogravimetry with mass spectrometry) of bm under pyrolytic conditions allowed the identification of residual electrolytes and pvdf through the evolution of carbonaceous and fluorinated gases. quantitat"", ""start_index"": 7123, ""end_index"": 7330}]",35
How is the metal composition of black mass determined after digestion?,"[{""content"": ""of the nmc cathode. furthermore, graphite particles are examined using raman spectroscopy to provide a clear distinction between different types of graphite surfaces based on a spectral feature called id/ig ratio (i.e., a ratio of the d band to the g band). these"", ""start_index"": 12779, ""end_index"": 12977}]",35
What is the role of the electronic conductive additive in a lithium-ion battery electrode?,"[{""content"": ""the mp-aes instrument. xrd. x-ray diffraction (xrd) analysis was performed on a bruker davinci 1 diffractometer using cu-k\u03b1 radiation (\u03bb=1.54060 a\u030a) equipped with a ni filter to reduce the intensity of the contamination wavelengths (i.e., cu-k\u03b2 and w-l\u03b1). xrd exper"", ""start_index"": 12547, ""end_index"": 12880}]",36
What is the purpose of calendering in the electrode manufacturing process?,"[{""content"": ""re now exposed after pyrolysis.11 pyrolysis pre-treatment also causes phase change of nmc (li[nimnco]o2) particles by reducing them into individual metal (ni, mn, co) oxides.12 cha"", ""start_index"": 14170, ""end_index"": 14346}]",36
How does the BMM application allow users to explore the effects of different manufacturing parameters on battery performance?,"[{""content"": ""lenging due to overlapping peaks. scanning electron microscopy coupled with energy-dispersive spectroscopy (sem/eds) can be employed to complement xrd by visualizing local morphology and identifying nmc phase composition.18 mea"", ""start_index"": 9519, ""end_index"": 9937}]",36
What is the significance of having a slightly higher capacity of active material in the negative electrode?,"[{""content"": ""ith dap-60 digestion vessels. measurement of the metal contents (wt. %) after microwave digestion was done using a microwave plasma atomic emission spectrometry (mp-aes) instrument called agilent mp-aes 4210. for diges"", ""start_index"": 13740, ""end_index"": 13928}]",36
What are the limitations posed by the rheology of the slurry in electrode manufacturing?,"[{""content"": ""ons while designing a cell[19]. in reality, the ams are, generally, not conductive enough to enable efficient charge (ionic and electronic) transport to and from the electrode. so, an electronic conductive additive, an appropriate am particle size, and a current collector are required to ensure sufficient electronic transport in the electrode[16,17]."", ""start_index"": 13913, ""end_index"": 14185}]",36
Why is it important to balance the thickness of the electrode for energy and power density?,"[{""content"": ""by the rheology of the slurry[26]. the final electrode porosity is controlled by the calendering step, where reducing the roll gap makes it increasingly hard to compress the material further[27]."", ""start_index"": 14678, ""end_index"": 14887}]",36
How does the BMM application facilitate collaboration among users?,"[{""content"": ""rtual avatars and voice chat. thirdly, users have the freedom to adjust the process parameter values of any machine. then, it uses this information to predict the resulting electrode properties and cell performance, such as the electrode mass loading and thickness and the corresponding gravimetric cell energy density. it also generates a galvanostatic cycling with potential limitation (gcpl) curve for the chemistry selected. which hel"", ""start_index"": 9337, ""end_index"": 9538}]",36
What is the role of the Solid Electrolyte Interphase (SEI) in lithium-ion batteries?,"[{""content"": ""ve the desired cell capacity[24]. additionally, a slightly higher capacity of am in the negative electrode is necessary to prevent lithium plating in the negative electrode during the cell\u2019s life cycle[25]."", ""start_index"": 13538, ""end_index"": 13755}]",36
What is the role of cations in the electrochemical CO₂ reduction (eCO₂R) on Ag surfaces?,"[{""content"": ""during the cell\u2019s life cycle[25]. aside from the limitations posed by the material properties, there are also limitations set by the process parameters. for the wet processing of the electrodes, the electrode formulation and the thickness are also limited by the rheology of the slurry[26]."", ""start_index"": 8567, ""end_index"": 8738}]",37
How does the O–C–O bond angle change in the presence of cations during eCO₂R?,"[{""content"": ""d for high power density[27]. one such example is the thickness of the electrode. for achieving high-power density, the electrode should be thin, whereas, for optimising energy density, thicker electrodes are preferred. thinner e"", ""start_index"": 8870, ""end_index"": 9008}]",37
What is the effect of potential on the binding energies of surface intermediates in the CO pathway on Ag(111)-K⁺ system?,"[{""content"": ""lexibility and customisation. secondly, the platform enables multiple users to join the same instance of the pilot line environment, allowing real-time collaboration in vr through virtual avatars and voice chat. thirdly,"", ""start_index"": 9747, ""end_index"": 9941}]",37
What is the proposed active site for eCO₂R on Ag surfaces?,"[{""content"": ""he electrode, respectively[22,23]. also, a higher amount of am and electrolyte than the theoretical requirement is needed to account for the initial solid electrolyte interphase (sei) formation and achieve the desired cell capacity[24]."", ""start_index"": 10003, ""end_index"": 10239}]",37
How does the coordination number of cations change as they move from the OHP towards the electrode?,"[{""content"": ""tabilization that the cation provides. in all cases, the cations were found to stabilize co_2 and cooh intermediates by at least 0.5 ev and 0.4 ev respectively (figure 1(a): dft and aimd)."", ""start_index"": 10923, ""end_index"": 11107}]",37
How does the steric limit affect the concentration of K⁺ at strongly negative potentials?,"[{""content"": ""and keeping it adsorbed on the surface. in particular, the o\u2013c\u2013o bond angle decreases from the 180\u00b0 in the gas phase to around 135\u00b0 in presence of the cation"", ""start_index"": 19759, ""end_index"": 19956}]",37
What is the impact of different milling instruments on the decarboxylation ratios of THCA and CBDA?,"[{""content"": ""potential range (figure s2). the co2 binding energy shifts with a slope of 0.44 ev/v, in-line with greater number of excess electrons needed to maintain the fixed potential as compared to the clean slab. the impli"", ""start_index"": 1784, ""end_index"": 2001}]",38
Which milling condition was found to optimize THCA and THC levels?,"[{""content"": ""in the following section. based on these results, we propose that the active site for eco2r consists of a microenvironment including both the surface sites on ag and a partially dehydrated cation present in the vicinity of the reaction plane (less than 5."", ""start_index"": 2331, ""end_index"": 2504}]",38
How does the pulsed operation of a coffee grinder affect cannabinoid concentrations compared to continuous operation?,"[{""content"": ""(li+: 4, k+: 6, and cs+: 8). importantly, the coordination analysis revealed an average loss of about one h2o molecule as the cations move from ohp (assumed to be at 5 a\u030a) towards the electrode. therefore"", ""start_index"": 12073, ""end_index"": 12343}]",38
What was the effect of milling speed on cannabinoid recovery in single-use containers?,"[{""content"": ""egative potentials (figure 3(b)). [k+]0 at strongly negative potentials is almost 100 times its bulk values in the case of [k+]0 = 0.05 m, in line with experimentally observed surface concentration measurements [48]."", ""start_index"": 12673, ""end_index"": 12966}]",38
What operational challenges are associated with the use of traditional milling methods in cannabis analysis?,"[{""content"": ""e containers. - **results** investigations into milling methods for cannabis reveal that decarboxylation ratios or oxidation of thca and cbda flower do not significantly vary across different milling instruments or protocols. single-us"", ""start_index"": 14854, ""end_index"": 15182}]",38
How does the use of single-use containers impact the operational efficiency and environmental sustainability of cannabis milling?,"[{""content"": ""antly affect cannabinoid preservation. notably, single-use containers at specific settings were optimal. for maximizing thca and thc levels, highlighting the importance of mill type and speed."", ""start_index"": 15542, ""end_index"": 15860}]",38
What is the significance of optimizing milling parameters for THC preservation in the cannabis industry?,"[{""content"": ""ions, arranged by mill type. the coffee grinder (cg) was evaluated under continuous and pulsed modes of operation. it was observed that pulsed operation (cg, 20s, pulses) resulted in slightly higher concentrations of thca and thc compared to the continuous mode (cg, 20s, cont.). this sugg"", ""start_index"": 17946, ""end_index"": 18182}]",38
What were the observed differences in cannabinoid recovery between the 1.4L mill type and other mill types?,"[{""content"": ""d concentrations across the conditions. notably, the su operation for 20 seconds at 2,000 rpm was associated with the highest percentages of thca and thc among the su mill conditions. in contrast, the su mill's operation for 10 seconds at 2,000 rpm was most effective for achieving the highest percentages of cbda"", ""start_index"": 12987, ""end_index"": 13175}]",38
What role does the choice of milling parameters play in the analytical evaluation of cannabis?,"[{""content"": ""red in laboratory operations. personal conversations by the corresponding author with laboratory directors from washington state and california revealed significant operational burdens related to milling, including the extensive staff time dedicated to milling and cleaning tasks, which can account for approximately 50% of staff efforts. this not"", ""start_index"": 16224, ""end_index"": 16491}]",38
What is the role of ionisable lipids in lipid nanoparticle RNA (LNP-RNA) formulations?,"[{""content"": ""fleet of mills in operation. the potential adoption of single-use milling containers emerges as a means to mitigate cleaning requirements, thereby saving time and reducing operational costs. however, this approach may result in increased waste and environmental impacts, contingent on the materials used and disposal practices. this jux"", ""start_index"": 3188, ""end_index"": 3393}]",39
How does cholesterol contribute to the stability of lipid nanoparticles?,"[{""content"": ""within the cannabis industry. given that thc levels are a significant profit driver for the sector, even marginal gains in the preservation of this specific cannabinoid during the milling process can translate into substantial financial benefits. therefore"", ""start_index"": 3553, ""end_index"": 3771}]",39
